site_parameter_id,site_id,parameter_id,api_ingest_ind,api_ingest_notes,create_ts,update_ts
1,1,3,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
2,1,31,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
3,2,1,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
4,2,2,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
5,2,23,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
6,2,24,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
7,2,25,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
8,2,27,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
9,2,29,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
10,2,30,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
11,3,1,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
12,3,23,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
13,3,30,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
14,4,1,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
15,4,2,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
16,4,23,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
17,4,27,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
18,5,3,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
19,5,31,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
20,6,1,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
21,6,2,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
22,6,23,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
23,6,24,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
24,6,25,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
25,6,27,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
26,6,29,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
27,6,30,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
28,7,1,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
29,7,2,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
30,7,23,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
31,7,24,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
32,7,25,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
33,7,27,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
34,7,29,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
35,8,1,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
36,8,2,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
37,8,23,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
38,8,27,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
39,9,1,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
40,9,2,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
41,9,23,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
42,9,25,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
43,9,27,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
44,10,1,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
45,10,23,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
46,11,1,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
47,11,2,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
48,11,23,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
49,12,1,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
50,12,2,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
51,12,23,true,,2025-07-19 13:01:41.295,2025-07-19 13:01:41.295
