usbr_site_parameter_id,site_parameter_id,usbr_site_parameter_cd,create_ts,update_ts
1,75,1711,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
2,76,1791,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
3,77,1871,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
4,78,1927,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
5,79,1718,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
6,80,14197,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
7,81,1773,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
8,82,1839,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
9,83,1850,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
10,84,1855,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
11,85,4164,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
12,86,1861,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
13,87,2258,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
14,88,1919,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
15,89,2416,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
16,90,14198,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
17,91,1712,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
18,92,1792,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
19,93,1872,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
20,94,1928,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
21,95,1719,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
22,96,14202,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
23,97,1774,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
24,98,1840,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
25,99,1851,2025-07-19 14:45:03.264,2025-07-19 14:45:03.264
